frequency_hz,n_samples,timestamp,adc1_ch1_mean,adc1_ch1_std,adc1_ch1_rms,adc1_ch2_mean,adc1_ch2_std,adc1_ch2_rms,adc1_ch3_mean,adc1_ch3_std,adc1_ch3_rms,adc1_ch4_mean,adc1_ch4_std,adc1_ch4_rms,adc2_ch1_mean,adc2_ch1_std,adc2_ch1_rms,adc2_ch2_mean,adc2_ch2_std,adc2_ch2_rms,adc2_ch3_mean,adc2_ch3_std,adc2_ch3_rms,adc2_ch4_mean,adc2_ch4_std,adc2_ch4_rms
10.0,100,2025-07-29T17:40:12.105029,-6187.27,75.55,6187.73,4200.45,76.77,4201.15,-3783.45,61.53,3783.95,2350.34,60.94,2351.13,-24535.56,148.29,24536.01,29964.56,145.72,29964.91,-875942.42,10.52,875942.42,-876272.51,14.74,876272.51,
11.697714419120476,100,2025-07-29T17:40:27.229097,-6211.36,102.71,6212.21,4221.30,100.42,4222.49,-3785.22,65.96,3785.79,2353.81,65.49,2354.72,-24547.94,232.45,24549.04,29979.93,222.74,29980.76,-875938.34,10.31,875938.34,-876283.83,14.67,876283.83,
13.683652263129911,100,2025-07-29T17:40:42.352647,-6125.20,143.95,6126.89,4121.36,148.89,4124.05,-3736.86,87.10,3737.87,2300.67,88.75,2302.38,-24255.41,377.08,24258.34,29654.34,388.56,29656.89,-875946.68,26.54,875946.68,-876287.16,26.55,876287.16,
16.006745638464533,100,2025-07-29T17:40:57.475931,-6288.63,76.88,6289.10,4268.40,76.28,4269.08,-3806.84,60.12,3807.31,2372.79,60.23,2373.55,-24731.89,160.34,24732.41,30085.07,160.60,30085.50,-875974.63,11.24,875974.63,-876307.03,14.21,876307.03,
18.724233925826034,100,2025-07-29T17:41:12.599993,-6136.25,156.42,6138.24,4117.63,157.66,4120.65,-3724.46,93.07,3725.62,2286.06,93.48,2287.97,-24264.24,448.91,24268.39,29624.04,446.53,29627.41,-875954.68,12.74,875954.68,-876282.97,20.69,876282.97,
21.903074118112002,100,2025-07-29T17:41:27.723503,-6009.42,64.04,6009.76,3995.62,64.83,3996.15,-3673.72,55.61,3674.14,2236.57,55.41,2237.26,-23829.83,73.92,23829.94,29195.31,73.40,29195.40,-875962.48,12.70,875962.48,-876300.93,11.19,876300.93,
25.621590593450332,100,2025-07-29T17:41:42.846916,-6025.77,145.60,6027.53,4017.66,145.40,4020.29,-3671.79,89.09,3672.87,2241.22,89.47,2243.01,-23822.19,379.61,23825.21,29189.78,379.82,29192.25,-875979.51,13.56,875979.51,-876309.99,13.38,876309.99,
29.97140497258055,100,2025-07-29T17:41:57.970448,-6114.27,143.42,6115.95,4102.59,144.07,4105.12,-3727.34,92.12,3728.48,2293.50,92.02,2295.35,-24021.86,359.30,24024.55,29403.65,358.77,29405.84,-875948.85,11.50,875948.85,-876283.55,11.52,876283.55,
35.05969361090547,100,2025-07-29T17:42:13.094658,-6182.34,103.08,6183.20,4173.63,103.70,4174.92,-3771.71,72.66,3772.41,2339.90,72.50,2341.02,-24222.08,225.21,24223.13,29605.79,225.41,29606.65,-875949.65,10.91,875949.65,-876285.40,12.91,876285.40,
41.011828348223496,100,2025-07-29T17:42:28.217991,-6258.24,88.12,6258.86,4248.62,90.35,4249.58,-3799.23,68.90,3799.85,2365.30,69.76,2366.33,-24440.26,200.50,24441.08,29821.24,202.30,29821.93,-875951.97,11.77,875951.97,-876282.04,13.48,876282.04,
47.97446558235079,100,2025-07-29T17:42:43.341980,-6185.67,75.09,6186.13,4181.02,76.42,4181.72,-3759.03,61.09,3759.53,2327.50,60.58,2328.29,-24260.90,132.13,24261.26,29646.56,132.36,29646.86,-875956.32,12.55,875956.32,-876281.78,21.60,876281.78,
56.11915977922639,100,2025-07-29T17:42:58.465113,-6108.90,95.70,6109.65,4107.31,96.44,4108.44,-3723.94,68.74,3724.57,2293.07,68.45,2294.09,-24032.27,216.45,24033.24,29418.38,217.63,29419.18,-875970.85,11.12,875970.85,-876312.60,10.95,876312.60,
65.64659045383824,100,2025-07-29T17:43:13.589171,-6182.24,67.58,6182.61,4178.76,68.37,4179.32,-3765.32,58.75,3765.78,2335.45,57.95,2336.17,-24248.05,97.81,24248.25,29625.14,98.26,29625.30,-875975.35,13.41,875975.35,-876315.08,13.64,876315.08,
76.79150677179604,100,2025-07-29T17:43:28.713451,-6170.46,75.66,6170.92,4164.04,77.35,4164.76,-3750.34,61.37,3750.84,2319.30,62.48,2320.14,-24217.46,135.80,24217.84,29592.45,134.71,29592.76,-875965.80,14.89,875965.80,-876300.34,15.27,876300.34,
89.82851160304261,100,2025-07-29T17:43:43.839086,-6217.29,161.45,6219.39,4209.03,160.54,4212.09,-3770.00,102.76,3771.40,2336.05,102.33,2338.29,-24318.57,420.64,24322.21,29695.28,420.11,29698.25,-875963.09,10.62,875963.09,-876304.37,16.96,876304.37,
105.07882754270427,100,2025-07-29T17:43:58.979130,-6045.40,68.15,6045.78,4037.70,69.49,4038.30,-3687.64,58.37,3688.10,2256.69,58.28,2257.44,-23826.66,87.97,23826.82,29201.61,87.19,29201.74,-875962.73,10.88,875962.73,-876311.12,13.52,876311.12,
122.91821160905657,100,2025-07-29T17:44:14.118592,-6118.48,74.10,6118.93,4113.88,74.75,4114.56,-3727.58,58.28,3728.04,2292.46,57.38,2293.18,-24054.21,106.26,24054.44,29432.75,106.42,29432.94,-875957.92,11.22,875957.92,-876308.87,14.45,876308.87,
