scan_id,point_index,x,y,voltage_x_in_phase,voltage_x_quadrature,voltage_y_in_phase,voltage_y_quadrature,voltage_z_in_phase,voltage_z_quadrature,std_dev_x_in_phase,std_dev_x_quadrature,std_dev_y_in_phase,std_dev_y_quadrature,std_dev_z_in_phase,std_dev_z_quadrature
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,0,535.0,535.0,1.9791799008607864,0.03913324120044709,0.051797738170623775,-0.004572363066673279,1.9347914420127867,0.04392847738265991,6.152938655092748e-05,4.629955545565521e-05,0.00010969549318042575,4.312828008711684e-05,0.00010365138729818022,5.7107065425080013e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,1,545.0,535.0,1.9800003918170934,0.03934086019992829,0.052768354082107546,-0.004310510444641114,1.933169003748894,0.04373384184837342,6.356929004809325e-05,6.88824285843566e-05,6.0790659091791905e-05,3.3447801880998085e-05,9.00133947347838e-05,5.866517007317278e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,2,555.0,535.0,1.980046445274353,0.039620616030693064,0.052499340176582344,-0.004148013353347779,1.9316894418239592,0.04361335179805755,0.00024269483508633995,5.054039947247019e-05,0.00020535811667562272,4.8238882589252484e-05,9.834425337154539e-05,5.724609970260626e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,3,565.0,535.0,1.9815239112138747,0.03981458201408387,0.05270177743434906,-0.004130051922798157,1.9313082635879522,0.04353798365592957,2.719874000817967e-05,5.317383669834156e-05,5.1794052281018835e-05,3.9986764366610764e-05,0.00010413677228726855,6.76204902889889e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,4,575.0,535.0,1.983271642827988,0.03992566924095155,0.05264244940280914,-0.0041630636930465705,1.9314576025485994,0.043609625601768495,2.4430896256155024e-05,5.1517407722608464e-05,7.291202059818158e-05,3.985420527546778e-05,0.00012397691552056887,6.167245953593617e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,5,585.0,535.0,1.9856829576015471,0.03993163697719574,0.05299335229396821,-0.00418413999080658,1.9319410474061969,0.04372589457035066,3.593250053360944e-05,4.156466214044269e-05,5.633631485801786e-05,4.055062363185357e-05,0.0001047992212131851,6.653302226094592e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,6,595.0,535.0,1.9863059310436249,0.039907998919487,0.052535233926773076,-0.004056081104278565,1.9322036278009413,0.043901637125015255,3.5390692319651435e-05,6.208329242590228e-05,5.753639306322839e-05,4.48278165006746e-05,0.00010066028990322892,6.247767362459646e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,7,605.0,535.0,1.9859608212232591,0.03985204775333405,0.052395414233207704,-0.003771492862701416,1.932510165667534,0.044082503199577336,3.546677028758481e-05,6.163421699528371e-05,5.985346422794243e-05,4.42562835873948e-05,0.0001134863751738076,7.563438194703083e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,8,615.0,535.0,1.9859814317464832,0.039760493946075434,0.05328437404632569,-0.0034123515844345096,1.933372838330269,0.04434205605983734,2.9640582247513052e-05,6.51653609465658e-05,5.787139924497895e-05,4.2605361398181444e-05,0.00011170870885524403,6.080556572795401e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,9,625.0,535.0,1.9854360097646713,0.03971112184524536,0.05376796445846558,-0.003075829482078553,1.9346560471773149,0.04468052859306336,3.1303891179264954e-05,6.172348646599882e-05,5.022514342863946e-05,3.8319522856095066e-05,8.613495927178012e-05,6.180931369948217e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,10,635.0,535.0,1.985229846310616,0.03964774739742279,0.05379920046329499,-0.0029392702102661135,1.9362127530097961,0.045023367762565616,2.705141604676387e-05,5.765156378891579e-05,5.596029853868261e-05,3.6487168803861695e-05,8.793623342268192e-05,5.3328036262396984e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,11,645.0,535.0,1.9856046201467514,0.03970768675804138,0.053186328506469725,-0.002996182036399842,1.9374690633773806,0.04534370419979096,2.4727351677065692e-05,5.583297199194137e-05,7.24483120195231e-05,3.96364853152609e-05,0.00011164691899726434,4.285459062212639e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,12,655.0,535.0,1.9855723070383076,0.03975991172790528,0.05166147000789643,-0.003254861569404602,1.9378425272226334,0.04550896682739258,4.1070587069574904e-05,6.717661292378545e-05,3.499154614054485e-05,4.4434909140576666e-05,0.0001042112743895365,6.502380459100572e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,13,665.0,535.0,1.985473242616654,0.039675693869590765,0.05017372791767122,-0.0035747031211853034,1.9377339435338974,0.04554663634300233,2.5460610570755888e-05,5.235995218332069e-05,7.308674794547573e-05,3.82678243513383e-05,0.00010556477370397095,5.4730400516036724e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,14,675.0,535.0,1.985358545637131,0.03966349639892578,0.048896283030509954,-0.003842581701278687,1.9377511480808256,0.045652687382698065,2.5594138290065172e-05,5.539241472149854e-05,4.341772699371427e-05,4.304868112785449e-05,9.348900270232977e-05,4.583713633623198e-05
3c85d787-9492-4ffc-b11a-0ddbb4a6ab0a,15,685.0,535.0,1.986008010005951,0.03979222483634949,0.047994805526733395,-0.004057274651527405,1.938077597808838,0.04581198227405549,3.1336645663777603e-05,3.7659310661538276e-05,6.350150257793658e-05,2.8153608307219605e-05,9.642239159288893e-05,6.94494670702375e-05
