X In-Phase_x,X In-Phase_y,X Quadrature_x,X Quadrature_y,Y In-Phase_x,Y In-Phase_y,Y Quadrature_x,Y Quadrature_y,Z In-Phase_x,Z In-Phase_y,Z Quadrature_x,Z Quadrature_y
15.5407531261,1.1915864563,15.5407531261,0.0001473173,15.5407531261,2.4383753223,15.5407531261,0.0002956166,15.5407531261,-1.3354569325,15.5407531261,0.0001082490
15.7336030006,1.1915935001,15.7336030006,0.0001829405,15.7336030006,2.4384876425,15.7336030006,0.0003381516,15.7336030006,-1.3354490113,15.7336030006,0.0001431683
15.9273531437,1.1915850546,15.9273531437,0.0001042078,15.9273531437,2.4381327373,15.9273531437,0.0002336914,15.9273531437,-1.3354730706,15.9273531437,0.0000357910
16.1185541153,1.1915922295,16.1185541153,0.0000915035,16.1185541153,2.4385645854,16.1185541153,0.0001466333,16.1185541153,-1.3354733341,16.1185541153,0.0000515114
16.3103840351,1.1916028093,16.3103840351,0.0000453683,16.3103840351,2.4381372511,16.3103840351,0.0001431899,16.3103840351,-1.3355074888,16.3103840351,-0.0000025750
16.5028970242,1.1915911555,16.5028970242,0.0000064746,16.5028970242,2.438454413,16.5028970242,0.0000543344,16.5028970242,-1.3354685354,16.5028970242,-0.0000340832
16.6909489632,1.1915948514,16.6909489632,0.0000519471,16.6909489632,2.4385795767,16.6909489632,0.0000926061,16.6909489632,-1.3354960958,16.6909489632,0.0000201115
16.8852510452,1.1915941930,16.8852510452,0.0000373803,16.8852510452,2.438319613,16.8852510452,0.0000919669,16.8852510452,-1.3354606168,16.8852510452,-0.0000006195
17.0732059479,1.19161836,17.0732059479,0.0000569523,17.0732059479,2.4385758979,17.0732059479,0.0000794761,17.0732059479,-1.3354835837,17.0732059479,0.0000168874
17.2680659294,1.1916071433,17.2680659294,0.0000081663,17.2680659294,2.4380592922,17.2680659294,0.0000633775,17.2680659294,-1.3354848809,17.2680659294,-0.0000587988
17.462141037,1.1916099112,17.462141037,0.0000376123,17.462141037,2.4384892865,17.462141037,0.0000979920,17.462141037,-1.3354935018,17.462141037,0.0000052604
17.652684927,1.1916373208,17.652684927,0.000093916,17.652684927,2.4385288719,17.652684927,0.0001710906,17.652684927,-1.3354381161,17.652684927,0.0000479563
17.8414549828,1.1916432530,17.8414549828,0.0000273323,17.8414549828,2.4381756594,17.8414549828,0.0000733399,17.8414549828,-1.3354047893,17.8414549828,-0.0000379794
18.0336589813,1.1916632396,18.0336589813,0.000014526,18.0336589813,2.4385048178,18.0336589813,0.0000492093,18.0336589813,-1.3354397116,18.0336589813,-0.0000318049
18.2289960384,1.1916264232,18.2289960384,0.0000037926,18.2289960384,2.4380807325,18.2289960384,0.0000399697,18.2289960384,-1.3354240780,18.2289960384,-0.0000810298
18.4192020893,1.1916074365,18.4192020893,0.0000474746,18.4192020893,2.4385283408,18.4192020893,0.0000924843,18.4192020893,-1.3354175286,18.4192020893,0.0000016338
