frequency_hz,n_samples,timestamp,adc1_ch1_mean,adc1_ch1_std,adc1_ch1_rms,adc1_ch2_mean,adc1_ch2_std,adc1_ch2_rms,adc1_ch3_mean,adc1_ch3_std,adc1_ch3_rms,adc1_ch4_mean,adc1_ch4_std,adc1_ch4_rms,adc2_ch1_mean,adc2_ch1_std,adc2_ch1_rms,adc2_ch2_mean,adc2_ch2_std,adc2_ch2_rms,adc2_ch3_mean,adc2_ch3_std,adc2_ch3_rms,adc2_ch4_mean,adc2_ch4_std,adc2_ch4_rms
143.7862136311763,2,2025-07-30T09:41:28.121855,-161424.00,495.00,161424.76,159914.00,495.00,159914.77,-112463.50,335.50,112464.00,111812.50,335.50,111813.00,-250311.50,1495.50,250315.97,256892.00,1474.00,256896.23,-875420.50,4.50,875420.50,-875705.00,2.00,875705.00,
168.19700644641483,2,2025-07-30T09:41:28.939074,-162208.00,491.00,162208.74,160697.00,501.00,160697.78,-112961.00,400.00,112961.71,112317.00,400.00,112317.71,-251217.50,1383.50,251221.31,257806.00,1346.00,257809.51,-875383.00,16.00,875383.00,-875670.50,19.50,875670.50,
196.75205475611267,2,2025-07-30T09:41:29.757122,-162543.00,286.00,162543.25,161041.00,296.00,161041.27,-113085.00,285.00,113085.36,112447.00,280.00,112447.35,-251570.00,525.00,251570.55,258148.00,491.00,258148.47,-875397.00,10.00,875397.00,-875685.00,6.00,875685.00,
230.15493479121608,2,2025-07-30T09:41:30.578280,-162535.00,407.00,162535.51,161026.50,420.50,161027.05,-112927.50,332.50,112927.99,112280.00,332.00,112280.49,-251573.00,1037.00,251575.14,258157.00,1000.00,258158.94,-875412.00,11.00,875412.00,-875664.50,5.50,875664.50,
269.22866993389414,2,2025-07-30T09:41:31.410360,-162755.00,545.00,162755.91,161265.50,537.50,161266.40,-113228.00,360.00,113228.57,112598.00,348.00,112598.54,-251677.50,1597.50,251682.57,258264.00,1562.00,258268.72,-875460.50,14.50,875460.50,-875687.50,17.50,875687.50,
314.9360094326341,2,2025-07-30T09:41:32.225526,-163559.50,248.50,163559.69,162077.00,261.00,162077.21,-113692.50,262.50,113692.80,113068.50,265.50,113068.81,-252535.50,546.50,252536.09,259126.00,515.00,259126.51,-875397.50,4.50,875397.50,-875682.50,37.50,875682.50,
368.40314986403865,2,2025-07-30T09:41:33.043889,-162524.50,271.50,162524.73,161090.50,298.50,161090.78,-113153.00,121.00,113153.06,112561.50,144.50,112561.59,-251379.00,880.00,251380.54,257995.50,897.50,257997.06,-875391.50,8.50,875391.50,-875678.50,9.50,875678.50,
430.9474838213967,2,2025-07-30T09:41:33.877326,-163534.50,387.50,163534.96,162097.50,423.50,162098.05,-113696.00,329.00,113696.48,113103.50,340.50,113104.01,-252787.00,968.00,252788.85,259394.00,941.00,259395.71,-875410.50,3.50,875410.50,-875705.00,4.00,875705.00,
504.11005953812406,2,2025-07-30T09:41:34.693356,-163441.00,58.00,163441.01,162033.00,35.00,162033.00,-113623.50,37.50,113623.51,113048.50,44.50,113048.51,-252481.50,338.50,252481.73,259093.50,348.50,259093.73,-875409.50,22.50,875409.50,-875718.50,7.50,875718.50,
589.6935512282796,2,2025-07-30T09:41:35.508005,-163389.50,516.50,163390.32,161973.00,522.00,161973.84,-113595.00,399.00,113595.70,113017.00,398.00,113017.70,-252594.50,1607.50,252599.61,259215.50,1577.50,259220.30,-875438.50,6.50,875438.50,-875696.00,42.00,875696.00,
