frequence_Hz,timestamp,VPP_CH1,VPP_CH2,VPP_CH3
100.0,2025-09-26 15:25:36,2.21,3.8,1.73
126.6,2025-09-26 15:25:53,2.6,4.5,1.97
160.4,2025-09-26 15:26:10,2.9,5.2,2.13
203.1,2025-09-26 15:26:26,3.2,5.8,2.21
257.2,2025-09-26 15:26:43,3.5,6.2,2.25
325.7,2025-09-26 15:26:59,3.5,6.6,2.13
412.5,2025-09-26 15:27:15,3.7,6.6,1.93
522.3,2025-09-26 15:27:31,3.6,6.6,1.73
661.5,2025-09-26 15:27:47,3.5,6.6,1.49
837.7,2025-09-26 15:28:02,3.3,6.4,1.29
1060.8,2025-09-26 15:28:17,3.1,6.0,1.05
1343.4,2025-09-26 15:28:33,2.9,5.6,0.92
1701.3,2025-09-26 15:28:48,2.6,4.8,0.78
2154.4,2025-09-26 15:29:03,2.33,4.4,0.68
2728.3,2025-09-26 15:29:18,2.17,4.1,0.64
3455.1,2025-09-26 15:29:33,2.05,3.9,0.58
4375.5,2025-09-26 15:29:49,1.93,3.7,0.56
5541.0,2025-09-26 15:30:04,1.89,3.6,0.54
7017.0,2025-09-26 15:30:19,1.81,3.5,0.52
8886.2,2025-09-26 15:30:34,1.81,3.5,0.52
11253.4,2025-09-26 15:30:49,1.77,3.5,0.52
14251.0,2025-09-26 15:31:05,1.73,3.4,0.52
18047.2,2025-09-26 15:31:20,1.73,3.4,0.5
22854.6,2025-09-26 15:31:34,1.73,3.4,0.5
28942.7,2025-09-26 15:31:49,1.73,3.4,0.52
36652.4,2025-09-26 15:32:04,1.73,3.4,0.52
46415.9,2025-09-26 15:32:19,1.73,3.4,0.52
58780.2,2025-09-26 15:32:34,1.73,3.4,0.5
74438.0,2025-09-26 15:32:50,1.77,3.4,0.5
94266.8,2025-09-26 15:33:05,1.73,3.1,0.46
119377.7,2025-09-26 15:33:19,1.41,2.7,0.36
151177.5,2025-09-26 15:33:35,1.07,1.89,0.29
191448.2,2025-09-26 15:33:50,0.82,1.49,0.23
242446.2,2025-09-26 15:34:05,0.6,1.07,0.177
307029.1,2025-09-26 15:34:19,0.42,0.76,0.129
388815.5,2025-09-26 15:34:34,0.31,0.54,0.101
