frequence_Hz,timestamp,VPP_CH1,VPP_CH2,VPP_CH3
100.0,2025-09-26 16:17:20,1.73,3.9,2.21
126.6,2025-09-26 16:17:37,2.01,4.5,2.6
160.4,2025-09-26 16:17:54,2.29,5.4,2.8
203.1,2025-09-26 16:18:11,2.6,5.8,2.9
257.2,2025-09-26 16:18:27,2.7,6.4,2.9
325.7,2025-09-26 16:18:44,2.7,6.6,2.7
412.5,2025-09-26 16:19:00,2.9,6.6,2.37
522.3,2025-09-26 16:19:16,2.8,6.6,2.09
661.5,2025-09-26 16:19:31,2.7,6.6,1.81
837.7,2025-09-26 16:19:47,2.7,6.4,1.53
1060.8,2025-09-26 16:20:02,2.41,6.0,1.33
1343.4,2025-09-26 16:20:18,2.17,5.6,1.09
1701.3,2025-09-26 16:20:33,2.01,4.8,0.94
2154.4,2025-09-26 16:20:48,1.85,4.5,0.82
2728.3,2025-09-26 16:21:03,1.69,4.2,0.74
3455.1,2025-09-26 16:21:18,1.57,3.9,0.7
4375.5,2025-09-26 16:21:33,1.49,3.8,0.68
5541.0,2025-09-26 16:21:48,1.45,3.6,0.64
7017.0,2025-09-26 16:22:04,1.41,3.5,0.62
8886.2,2025-09-26 16:22:19,1.41,3.5,0.62
11253.4,2025-09-26 16:22:34,1.41,3.5,0.6
14251.0,2025-09-26 16:22:49,1.37,3.4,0.6
18047.2,2025-09-26 16:23:04,1.37,3.4,0.6
22854.6,2025-09-26 16:23:19,1.37,3.4,0.6
28942.7,2025-09-26 16:23:34,1.37,3.5,0.62
36652.4,2025-09-26 16:23:49,1.37,3.5,0.6
46415.9,2025-09-26 16:24:04,1.33,3.4,0.6
58780.2,2025-09-26 16:24:19,1.37,3.5,0.6
74438.0,2025-09-26 16:24:34,1.37,3.4,0.6
94266.8,2025-09-26 16:24:49,1.37,3.2,0.54
119377.7,2025-09-26 16:25:04,1.15,2.7,0.43
151177.5,2025-09-26 16:25:19,0.86,1.97,0.34
191448.2,2025-09-26 16:25:34,0.66,1.53,0.27
242446.2,2025-09-26 16:25:48,0.5,1.07,0.2
307029.1,2025-09-26 16:26:03,0.33,0.78,0.153
388815.5,2025-09-26 16:26:17,0.26,0.54,0.125
