frequence_Hz,timestamp,VPP_CH1,VPP_CH2,VPP_CH3
100.0,2025-09-26 15:39:23,3.5,0.62,3.8
126.6,2025-09-26 15:39:40,4.1,0.76,4.2
160.4,2025-09-26 15:39:57,4.7,0.88,4.5
203.1,2025-09-26 15:40:14,5.2,0.96,4.7
257.2,2025-09-26 15:40:30,5.6,1.09,4.6
325.7,2025-09-26 15:40:47,6.0,1.11,4.3
412.5,2025-09-26 15:41:03,6.0,1.15,4.0
522.3,2025-09-26 15:41:18,6.0,1.15,3.5
661.5,2025-09-26 15:41:34,5.6,1.15,3.1
837.7,2025-09-26 15:41:50,5.6,1.11,2.5
1060.8,2025-09-26 15:42:05,4.9,1.05,2.13
1343.4,2025-09-26 15:42:20,4.5,0.96,1.77
1701.3,2025-09-26 15:42:36,4.1,0.9,1.57
2154.4,2025-09-26 15:42:51,3.9,0.82,1.37
2728.3,2025-09-26 15:43:05,3.5,0.78,1.25
3455.1,2025-09-26 15:43:21,3.3,0.72,1.13
4375.5,2025-09-26 15:43:36,3.2,0.7,1.09
5541.0,2025-09-26 15:43:51,3.1,0.66,1.05
7017.0,2025-09-26 15:44:06,3.0,0.64,1.03
8886.2,2025-09-26 15:44:21,2.9,0.64,1.01
11253.4,2025-09-26 15:44:37,2.9,0.64,0.98
14251.0,2025-09-26 15:44:52,2.9,0.62,0.98
18047.2,2025-09-26 15:45:07,2.9,0.64,0.96
22854.6,2025-09-26 15:45:22,2.9,0.62,0.96
28942.7,2025-09-26 15:45:37,2.8,0.64,0.96
36652.4,2025-09-26 15:45:52,2.8,0.62,0.96
46415.9,2025-09-26 15:46:07,2.8,0.64,0.96
58780.2,2025-09-26 15:46:22,2.8,0.62,0.96
74438.0,2025-09-26 15:46:37,2.9,0.64,0.96
94266.8,2025-09-26 15:46:52,2.7,0.56,0.9
119377.7,2025-09-26 15:47:07,2.17,0.42,0.72
151177.5,2025-09-26 15:47:22,1.65,0.32,0.56
191448.2,2025-09-26 15:47:37,1.29,0.23,0.43
242446.2,2025-09-26 15:47:52,0.9,0.177,0.31
307029.1,2025-09-26 15:48:06,0.66,0.145,0.23
388815.5,2025-09-26 15:48:21,0.48,0.113,0.177
