scan_id,point_index,x,y,voltage_x_in_phase,voltage_x_quadrature,voltage_y_in_phase,voltage_y_quadrature,voltage_z_in_phase,voltage_z_quadrature,std_dev_x_in_phase,std_dev_x_quadrature,std_dev_y_in_phase,std_dev_y_quadrature,std_dev_z_in_phase,std_dev_z_quadrature
c4b890cb-f37c-4a25-877a-fe61f128efc7,0,485.0,485.0,0.9275987219810489,-0.031711618852615364,-1.7433613971948625,0.052426999568939224,0.7627455393075944,-0.01349363386631012,2.296422443327229e-05,5.804799182752884e-05,3.6008741257093356e-05,7.291725714678166e-05,1.8204730074462244e-05,3.559429457702207e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,1,491.1224489795918,485.0,0.927579916334152,-0.03168367238044739,-1.7433557787895204,0.05239806332588196,0.7627334291696549,-0.013472150015830995,2.6785621713995307e-05,3.6445855039556655e-05,4.611365570143349e-05,5.1675520698025715e-05,1.7593551390939197e-05,1.9338765048266793e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,2,497.2448979591837,485.0,0.9275706299543381,-0.031741835975646976,-1.7433048055887224,0.05248737559318543,0.762735554265976,-0.013538959550857547,1.9449074250629157e-05,4.5673563076383244e-05,4.149006356153158e-05,8.449122679140906e-05,1.918072870663293e-05,1.9720978413173923e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,3,503.3673469387755,485.0,0.9275591602563857,-0.03171022152900696,-1.7433219810247422,0.05243247241973877,0.7627340404987335,-0.013523647212982179,1.7921778015674553e-05,3.4870769621281326e-05,4.093279682178776e-05,7.776588712948447e-05,1.740660316044355e-05,2.5059140190927963e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,4,509.48979591836735,485.0,0.9275710666179657,-0.03170993041992188,-1.7433551092386246,0.05244222457408906,0.7627632096290589,-0.013508538651466371,1.9907359028779848e-05,5.581387790227275e-05,5.124704229047634e-05,8.441048590992586e-05,2.236758650435209e-05,3.5642883559474454e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,5,515.6122448979592,485.0,0.9275629155635834,-0.03170416646003723,-1.743352809476853,0.05246679418087006,0.7627331962823869,-0.013544315958023074,9.179044859489394e-06,3.382209312052038e-05,5.4671323014491184e-05,4.7279327944853754e-05,2.293651008164103e-05,2.7689628036904317e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,6,521.734693877551,485.0,0.9275664379835129,-0.03172105078697205,-1.743363551402092,0.05245715847015382,0.7627252490043641,-0.013527693629264833,2.3100544825360922e-05,6.173568943809477e-05,5.5238403817170826e-05,8.366022436757397e-05,2.1194305292369175e-05,2.624120511857972e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,7,527.8571428571429,485.0,0.9275633522272111,-0.03170294380187988,-1.7433535372495654,0.05245916712284089,0.7627316825151444,-0.013545160174369814,2.0199069098543203e-05,2.244289732449522e-05,5.039019874436657e-05,4.5263328355778904e-05,7.898128007407696e-06,1.50798689693364e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,8,533.9795918367347,485.0,0.9275363373041154,-0.03167933485507965,-1.7433335380554198,0.05245497515201569,0.7627350593805314,-0.013508946204185487,2.6684487814762608e-05,6.192188975547168e-05,5.318672660450223e-05,0.00010379638566977778,1.3517865248751558e-05,3.7275719803985796e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,9,540.1020408163265,485.0,0.9275629155635834,-0.03169159054756164,-1.743378601741791,0.052386477184295656,0.7627150019645692,-0.013527286076545717,1.4324618014337755e-05,4.874394438413021e-05,4.652320295220129e-05,7.613265407013026e-05,1.6125679981279832e-05,3.4088764755835735e-05
c4b890cb-f37c-4a25-877a-fe61f128efc7,10,546.2244897959183,485.0,0.9275433530330659,-0.031722331666946414,-1.7433454735279086,0.05242018761634827,0.7627398917913438,-0.013477098870277404,1.7479909446471158e-05,2.7866234597512824e-05,5.739813578403587e-05,3.938844456730393e-05,1.672882672629158e-05,2.503577622944953e-05
