scan_id,point_index,x,y,voltage_x_in_phase,voltage_x_quadrature,voltage_y_in_phase,voltage_y_quadrature,voltage_z_in_phase,voltage_z_quadrature,std_dev_x_in_phase,std_dev_x_quadrature,std_dev_y_in_phase,std_dev_y_quadrature,std_dev_z_in_phase,std_dev_z_quadrature
bc69eb5c-eadb-47ab-a875-0f2ca0650354,0,485.0,485.0,1.4032676774740218,-0.04783489930629731,0.15841990478038787,0.001886415982246399,-1.5140174215793614,0.04423763523101807,1.4766147857591934e-05,6.176960865575225e-05,2.249906853171896e-05,2.7375417784165808e-05,4.967772722393447e-05,4.207647028835966e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,1,491.1224489795918,485.0,1.40328313536644,-0.04779408581256867,0.1584227576494217,0.001879662251472473,-1.5140337527990342,0.04422954239845276,2.6729528467849625e-05,6.076600284988233e-05,2.3836385270617265e-05,1.731790523805572e-05,4.6716987079769156e-05,4.791773051670805e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,2,497.2448979591837,485.0,1.403255247116089,-0.047813269901275636,0.15843675999641418,0.001859401059150696,-1.514018324017525,0.04425731420516968,1.964836571133646e-05,5.388145282801065e-05,3.071650738404893e-05,2.1597098564424922e-05,4.009475065230056e-05,3.499906654194856e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,3,503.3673469387755,485.0,1.4032379843473435,-0.04780357596874237,0.158441388630867,0.0019120918035507202,-1.5140256599664688,0.04419303731918335,1.996877711658348e-05,7.387411419409163e-05,2.7337555974333055e-05,2.7453248536486265e-05,4.83982995759903e-05,4.817047631271495e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,4,509.48979591836735,485.0,1.4032524524688719,-0.04781393945217132,0.15845783629417423,0.0019152648925781252,-1.5140469400405887,0.04418366360664368,2.668912760272814e-05,7.656239654603606e-05,2.6886322665186517e-05,2.6830790895482083e-05,5.8895044434777206e-05,4.9918017075720956e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,5,515.6122448979592,485.0,1.403216122055054,-0.04779428958892823,0.15845157744884492,0.0019141877889633178,-1.5140145978212358,0.044167245054245,3.121411046764649e-05,4.0681966636446436e-05,2.00705587453295e-05,3.1219554959802275e-05,6.0948113153532185e-05,4.3499399783620974e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,6,521.734693877551,485.0,1.4032065445661546,-0.04779944221973419,0.1584485790252686,0.0019174482107162476,-1.513995471954346,0.04421979024410248,1.875793440621049e-05,4.165337112832424e-05,2.2881577373343966e-05,2.2024924253772032e-05,4.405856901516775e-05,4.4629015541601564e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,7,527.8571428571429,485.0,1.4031909993410112,-0.04782051851749421,0.1584367891073227,0.0019187582015991217,-1.514017712688446,0.04419749128818513,2.9437720029644943e-05,4.301425012928627e-05,2.5624968045191707e-05,2.732458485816689e-05,5.398888996777557e-05,3.577557080858788e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,8,533.9795918367347,485.0,1.4031874186992648,-0.04780945637226104,0.15842470808029174,0.001895003700256348,-1.5140035647869112,0.04421749048233033,2.5400182875765133e-05,6.013067814769395e-05,1.850969553150001e-05,2.1437438529586347e-05,4.572890408815123e-05,6.349794373829658e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,9,540.1020408163265,485.0,1.4031731252431872,-0.04779728801250458,0.15842683317661288,0.0018969250202178962,-1.5139875828981402,0.04421379339694977,1.8862755557644976e-05,8.481844522513288e-05,2.9543213941784568e-05,2.5783494397472384e-05,3.944201650928731e-05,6.769345198101134e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,10,546.2244897959183,485.0,1.40314535343647,-0.04778209211826325,0.15840849330425263,0.0019125575780868528,-1.5139908433198932,0.04418101451396943,1.7149512682018632e-05,2.7016027977083154e-05,2.5555940274169677e-05,2.279939476758431e-05,4.925461914836591e-05,4.1438605405920916e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,11,552.3469387755102,485.0,1.403123578476906,-0.047781539011001586,0.15840991973876956,0.0019112766981124875,-1.5139868551254274,0.04419222221374512,1.9869033295942083e-05,4.34210992102505e-05,2.9668698983911995e-05,3.365896125222407e-05,4.693716120231144e-05,4.390532403507513e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,12,558.469387755102,485.0,1.403135659503937,-0.04780267353057861,0.15842307786941529,0.0019168951034545898,-1.51400807697773,0.04417394056320191,1.1401504097501797e-05,8.959328967180536e-05,3.522427949029362e-05,3.189436270689364e-05,4.3826513311887885e-05,5.2341776888303186e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,13,564.5918367346939,485.0,1.403148148083687,-0.047799471330642704,0.15839565539360048,0.0019004474401474,-1.514020041561127,0.04420223636627198,2.577679216097354e-05,8.138878777248432e-05,3.757500531635143e-05,2.866995098750436e-05,5.849678333249217e-05,6.146589846828918e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,14,570.7142857142857,485.0,1.4031424423456194,-0.04780098509788514,0.15842284498214723,0.001895149254798889,-1.5140070872068405,0.04416890437602997,1.4893896175360374e-05,4.642112445233835e-05,2.2744710485975836e-05,2.9263003825667055e-05,4.8032989237075715e-05,2.9767886920988873e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,15,576.8367346938776,485.0,1.4031342621803282,-0.04779460980892181,0.15840226356983184,0.0019067353963851928,-1.5140098236322403,0.044199237942695625,3.219829666422136e-05,6.207998597310279e-05,2.1313148303246522e-05,1.796638129054105e-05,3.954610936583772e-05,3.684348110186082e-05
bc69eb5c-eadb-47ab-a875-0f2ca0650354,16,582.9591836734694,485.0,1.4031217444896698,-0.04777682304382324,0.15840642642974853,0.0019076960563659672,-1.514020798444748,0.04419728751182556,2.332476410544118e-05,4.515935077517706e-05,1.9996555015185496e-05,2.3301176478722677e-05,6.52836237705155e-05,4.6917818430040805e-05
